Date,Time,Inc_RSV_CAAP_12,Pop_12,RSV_CAAP_Cases
2016-06-01,144,0,18293,0
2016-07-01,145,0,18968,0
2016-08-01,146,0,18968,0
2016-09-01,147,0,18968,0
2016-10-01,148,0,18968,0
2016-11-01,149,0.1942329,18968,3.684210526
2016-12-01,150,0.9048287,18968,17.1627907
2017-01-01,151,2.0837099,18968,39.52380952
2017-02-01,152,1.7869431,18968,33.89473684
2017-03-01,153,0.5661164,18968,10.73809524
2017-04-01,154,0.0364987,18968,0.692307692
2017-05-01,155,0,18968,0
2017-06-01,156,0,18968,0
2017-07-01,157,0,19403,0
2017-08-01,158,0,19403,0
2017-09-01,159,0,19403,0
2017-10-01,160,0,19403,0
2017-11-01,161,0.1472526,19403,2.857142857
2017-12-01,162,0.7532539,19403,14.61538462
2018-01-01,163,1.3526575,19403,26.24561404
2018-02-01,164,1.1977239,19403,23.23943662
2018-03-01,165,0.3935661,19403,7.636363636
2018-04-01,166,0.1159614,19403,2.25
2018-05-01,167,0,19403,0
2018-06-01,168,0,19403,0
2018-07-01,169,0,19666,0
2018-08-01,170,0,19666,0
2018-09-01,171,0,19666,0
2018-10-01,172,0,19666,0
2018-11-01,173,0,19666,0
2018-12-01,174,0.2847554,19666,5.6
2019-01-01,175,0.7662205,19666,15.06849315
2019-02-01,176,1.0101121,19666,19.86486486
2019-03-01,177,1.1322895,19666,22.26760563
2019-04-01,178,0.3203498,19666,6.3
2019-05-01,179,0,19666,0
2019-06-01,180,0,19666,0
