date,caap.cases.4,rsv.caap.cases.4,caap.cases.4.11,rsv.caap.cases.4.11,caap.cases.6,caap.cases.6.J,caap.cases.6.B,rsv.caap.cases.6,rsv.caap.cases.6.J,rsv.caap.cases.6.B,caap.cases.6.11,caap.cases.6.11.J,caap.cases.6.11.B,rsv.caap.cases.6.11,rsv.caap.cases.6.11.J,rsv.caap.cases.6.11.B,caap.cases.12,caap.cases.12.J,caap.cases.12.B,rsv.caap.cases.12,rsv.caap.cases.12.J,rsv.caap.cases.12.B,bronch.cases.6.J,bronch.cases.6.B,bronch.cases.6,rsv.bronch.cases.6.J,rsv.bronch.cases.6.B,rsv.bronch.cases.6,bronch.cases.6.11.J,bronch.cases.6.11.B,bronch.cases.6.11,rsv.bronch.cases.6.11.J,rsv.bronch.cases.6.11.B,rsv.bronch.cases.6.11,bronch.cases.12,bronch.cases.12.J,bronch.cases.12.B,rsv.bronch.cases.12,rsv.bronch.cases.12.J,rsv.bronch.cases.12.B,pop.12,pop.12.J,pop.12.B,caap.cases.12.23,rsv.caap.cases.12.23,pop.12.23,caap.cases.24.59,rsv.caap.cases.24.59,pop.24.59,caap.cases.60,rsv.caap.cases.60,pop.60,caap.cases.4.J,caap.cases.4.B,rsv.caap.cases.4.J,rsv.caap.cases.4.B,caap.cases.4.11.J,caap.cases.4.11.B,rsv.caap.cases.4.11.J,rsv.caap.cases.4.11.B,bronch.cases.4.J,bronch.cases.4.B,bronch.cases.4,bronch.cases.4.11.J,bronch.cases.4.11.B,bronch.cases.4.11,rsv.bronch.cases.4.J,rsv.bronch.cases.4.B,rsv.bronch.cases.4,rsv.bronch.cases.4.11.J,rsv.bronch.cases.4.11.B,rsv.bronch.cases.4.11
2018-09-01,1,0,4,0,1,0,1,0,0,0,4,2,2,0,0,0,5,2,3,0,0,0,0,2,2,0,0,0,2,2,4,0,0,0,6,2,4,0,0,0,19728,9389,10364,6,0,19447,7,0,55199,18,0,94373,0,1,0,0,0,2,0,0,0,1,1,2,3,5,0,0,0,0,0,0
2018-10-01,2,0,2,0,3,1,2,0,0,0,1,0,1,0,0,0,4,1,3,0,0,0,3,4,7,1,0,1,2,2,4,0,0,0,11,5,6,1,1,0,19759,9399,10398,2,0,19469,4,0,55345,10,0,94573,0,2,0,0,0,1,0,0,2,2,4,3,4,7,1,0,1,0,0,0
2018-11-01,3,0,7,1,4,1,3,1,1,0,6,2,4,1,1,0,10,3,7,1,1,0,3,4,7,3,1,4,4,2,6,2,0,2,13,7,6,6,5,1,19790,9409,10431,5,1,19491,12,0,55492,27,2,94772,0,3,0,0,0,4,1,0,2,3,5,5,3,8,2,1,3,3,0,3
2018-12-01,5,2,23,10,10,4,6,4,4,0,18,12,6,8,7,1,28,16,12,12,11,1,34,20,54,29,8,37,17,10,27,9,2,11,81,51,30,48,38,11,19821,9420,10465,13,2,19513,16,2,55638,57,15,94972,2,3,2,0,2,9,9,1,26,16,42,25,14,39,21,8,28,18,3,21
2019-01-01,16,11,34,17,23,12,11,14,10,4,27,15,12,13,10,3,50,27,23,27,21,7,77,39,116,68,22,89,32,25,57,19,13,32,173,109,64,121,87,34,19852,9430,10499,22,11,19535,17,4,55785,89,42,95171,9,7,7,3,9,16,13,4,62,27,89,47,37,84,53,16,69,33,18,52
2019-02-01,21,17,28,16,33,4,29,22,1,21,16,6,10,11,5,6,49,10,39,32,6,27,15,86,101,9,71,80,5,15,20,4,11,15,121,20,101,94,13,81,19883,9440,10532,12,7,19556,19,9,55931,80,48,95371,1,20,0,17,1,19,6,10,9,72,81,11,29,40,7,60,67,6,22,27
2019-03-01,23,20,28,14,30,4,26,21,2,19,21,6,15,12,2,10,51,10,41,33,4,29,8,75,83,4,61,65,5,21,26,2,17,19,109,13,96,84,6,78,19914,9450,10566,15,8,19578,9,2,56078,75,43,95570,3,20,2,18,3,21,2,12,7,64,71,6,32,38,4,53,57,2,25,27
2019-04-01,13,7,8,4,17,4,13,10,0,10,4,1,3,1,0,1,21,5,16,11,0,11,5,41,46,0,26,26,4,8,12,0,5,5,58,9,49,32,0,32,19945,9460,10599,8,3,19600,8,0,56224,37,14,95770,4,9,0,7,4,7,0,4,5,31,36,4,18,22,0,20,20,0,12,12
2019-05-01,4,0,1,0,5,1,4,1,0,1,0,0,0,0,0,0,5,1,4,1,0,1,1,5,6,0,3,3,0,5,5,0,3,3,11,1,10,5,0,5,19976,9470,10633,3,1,19622,3,0,56371,11,2,95969,1,3,0,0,1,1,0,0,1,5,6,0,5,5,0,3,3,0,3,3
2019-06-01,1,0,2,0,2,0,2,0,0,0,1,0,1,0,0,0,3,0,3,0,0,0,0,4,4,0,0,0,2,4,6,0,1,1,10,2,8,1,0,1,20007,9480,10667,5,0,19644,3,0,56517,11,0,96169,0,1,0,0,0,2,0,0,0,2,2,2,6,8,0,0,0,0,1,1
